,content
32,"Worth it. You probably spend more spare change buying random stuff at the gas station or fast food than you would investing in this app, and it is worth it. Honestly forgot I had this and checked it recently, it's been growing! I recommend it for a long-term savings strategy. Not quick money, but totally worth it considering all the work is being done for you in the background for just spare change. Just do it."
33,"So far so good. For a 1st time invester, acorns has really made it really simple for an average joe to begin this journey. I gave it a 5 for that exact reason. Im no guru nor am technical sound when it comes to the investment world,but i am good at noticing when something feels right and suits my best interest. Its not overwhelming or confusing to manage your account. It has a really good balance with all its functions down to the companies philosophy of approach. 👍"
34,"Awesome! You'll never not know what's happening with your account. Super communication and notifications. I received my brand new ""metal"" acorns debit card with my signature embossed on it, within days! I love it. Great choice if you're looking to open a new account."
35,Easy to use. My money feels safe and I like being able to see my investments grow in relation to my active spending.
36,"Acorn app is easy to use it has a few choices for round ups 1×,3×,10× or you could put in a set amount.I use 3× round up ."
37,"Easy to use with only a marginal, barely noticable fee and great UI. I usually recommend most people starting out with a Debit card get this app, set it up, and forget it for like a month or two. Come back and ""Hey, $200!"" While being barely noticeable on statements. Its small, but adds up, and if something happens like your car breaks down like mine did, the Acorns money softens the financial blow signifigantly."
38,"Great app, you actually forget you are investing, then you look and are amazed."
39,Its been one of the best invest app along wjth a couple other not really any issue beside one i still can't get it to go pass the verify whrn i link another acount it ask for pic and i dome that but when i get to next paige it says it need acc number and stuff and when i go to submit it says having some prob try again later that it on there end or something
40,"I use it for my own personal vacation, all the money that's goes in within a year is well spent on a mini vacation, cool app. 1k+ sometimes a year depending on how much you use your Visa card"
41,"It's a solid app that invests on your behalf for the longterm, you won't be able to invest directly or daytrade. But for those of us that can't or won't save, it's a great tool. Thru either daily ATM card transactions, or anytime one time investments, or weekly,bi-weekly,monthly transactions you can save money that would otherwise be spent on Doritos and dos xx (beer)."
42,I love this app because I can invest either just my spare change or ad little ad 5 bucks a month and just leave it there are forget about it! They do all the work for me. In about 5 years I'll be very happy that I did this!! Get it done it couldn't be easier for people who want to get into stock buying but have no idea how to do it.
43,Easy way to save money. Love the app. Very customizable savings options.
44,Investing is easy with Acorns.. The round ups show you the power of your spare change. Never invested money before but you are curious what it is all about?? Acorns provides education in stocks and investing. Well written easy to understand articles explain different types of investments. The money sitting in my account provides a sense of security knowing that I am planning for my future. Get Acorns you won't be disappointed!
45,"Very easy to use. I wish my bank supported this option, but it's not the apps fault"
46,A great investment app for beginners and also a wonderful way to have some extra savings add up- emergency money!
47,"Great and easy way to save! I used this to help save money to take my family to Disney World. It took me a little bit to completely figure it out but once i did i was off to the races. Round ups are great. It rounds up every purchase to the next dollar then invests it for you. You can even set a multiplier to save faster. The only thing i wish i could do was set any multiplier i wanted. You get the choices of x2, x3 or x10. Would strongly recomend for anyone who wants to save $$$"
48,I have never used an investment app before and this app has made it so easy to navigate and round up your change to invest.
49,"I didn't start with much, still don't have alot but it's growing and hopefully I can keep it growing. All in all it a great tool, that I will use for a long time. Thank you all for your awsome app, and keep up the good work."
50,Easy to use and helps first time investors begin to understand how to manage their own money and think about their financial goals
51,Great app. I do really recommend not using too many applications that offer too many kind of Currencie transfers. It causes too many holes for your money to slip out of any accounts you have them attached to so be weary! This app does a ton. Along with monitoring all 3 major credit agencies. They are one of the best when it comes to this kind of quick application themes. Acorn 🌰. Definitely top 5 apps that do two important things that do a great job at it! Give Acorn™ a try!
52,It has been really nice just having this in the background gaining some strength. Slow at first but this is one that you get back what you put in. I have a renewing investment and can just forget about it for a bit. Simple.
53,"I like it. Wish the metal card looked metal, but that's not really something to complain about."
54,"So far, so good! I just started using Acorns (about 3 months ago) after a friend told me about it. I've been happy with it so far, it's been earning me money based mostly on spare change I don't miss. The options are great too; I started accounts for my kids that'll hopefully help to get them going into adulthood. I also started a modest retirement account to supplement things later on. As long as I don't get ripped off I'll continue to be happy with Acorns!"
55,"Great for the novice investor. The app is designed beautifully and makes automatic investing incredibly accessible to newbies or those with little knowledge. I personally don't like the inconsistency of spare change investing but have my account set up for weekly deposits. You may or may not see greater gains by fully immersing yourself in the market and choosing individual stocks, but I enjoy the security and convenience that a professionally curated account has to offer. I highly recommend!"
56,Great app. Even better way to invest and save. I love the roundups!
57,Easy to use app with several ways to save money for the future. Love the roundup option.
58,This is the best application I've ever had take care of my pocket change and invested wisely with help thank you very much for making such a wonderful application.
59,Very easy to setup and very informative! Plan on using Acorn for years to come.
60,"It's a fun easy platform to use. Kind of like a game. I'm a series 7 holder and have a masters as well and I've been experimenting with all these different apps. As far as a simple, enjoyable, and educational experience goes for brand new investors who don't know a thing Bout money, you can beat it.😃"
61,I really like that I can invest in environmentally sustainable companies and the round up feature is clutch!
62,"Easy to use, had it for a while, you forget it's even there and you acrue money."
63,"Very simple format, it's a roboadvising app that does most of the work with a decent amount of input from user. Have never had a problem with the app, interface, taxes, customer service. Great app!! Nothing is hidden or secret or hard to find like fine print which is nice."
64,"I really like using this app to invest. It's pretty easy, and I can quickly check in and see how my investments are doing. Update: 6/30/2021 I'm still very much a fan of Acorns and appreciate how easy it is to use it to invest."
65,Easy to use intuitive app and design. You can save/invest as little or as much as you'd like. Remember Acorns is best for long term investing so don't expect big gains in a short time. Invest wisely and always do your research if unsure about anything. The Roundup feature is quite useful as well. It definitely helps you save without thinking about it.
66,Best passive way to invest spare change. Only one small gripe. Many of the offers for extra cash via the special offers. There are some offers that are automatic. If there is any way you guys could add more I would be more willing to shop at the sponsored locations. Other than that. Roundly perfect app.
67,"It's easy to understand, easy to use and easy to add my bank accounts and do investments. It seems slow (to me at least) for the money to transfer over and become investments however I know nothing about this stuff other than what's on this app and what's been in my 401K in the past. I'm satisfied with what I see though. I feel you will be too."
68,"Great app, intuitive and easy to use and great returns on my investments so far"
69,I love the acorns app. It makes investing so easy right at your finger tips. You know everything right off hand whats going on with your money. Whether you want to go conservative or aggressive. Also it is nice to watch your money grow and grow like a flower.☺
70,"A simple and painless way to invest and save, and since the monthly fee is a flat rate, if one simply begins with a couple of thousand - or rapidly and aggressively saves up that amount - one can minimize the impact of the rather tiny fees on one's investment earning."
71,Amazing app. It's so simple and the investing spare change concept is awesome. Love the 5 simple portfolios and the ability to automatic deposits from your bank to acorns account. Everyone should have this as you are more likely to get a better rate of return than any bank nowadays
72,This app is great for those who want to invest and save money and then forget about as it grows.
73,"Wonderful way to save money, earn money, and technically be a part of the investment situation in our country."
74,"Great app for accumulating small amounts of money over time. These small contributions really can turn into a large amount of investible money. Passive savings is the way to go. If you can ratchet up the multiples in terms of what you're banking, then you really can accumulate quite quickly.I highly recommend Acorns."
75,I love using this app! It makes saving and investing painless and easy.
76,So far I like the app. You can save without even thinking about it. I have to learn more about the investment side of things. Stay tuned
77,"Great app for hands off investing and other basic banking services. The Acorns team frequently add new features, and putting your money in an ETF is by far preferable to letting it sit in your garden variety savings account. The found money system is also a pretty cool way to get cash back at places I'd normally shop anyway. If you're looking for granular control I'd probably look elsewhere, but if you'd like to keep it simple and start saving I'd definitely give Acorns a shot!"
78,I am far from a technical wizard... probably closer to a dinosaur...but I find this app was easy to set up and easy to change if needed. I've never had to contact customer support. I deposit a certain amount monthly and I tripled the spare change going into my account. Due to my age I have a moderately conservative portfolio. I have only been a member since October but I'm quite surprised actually at how my account has grown using the above methods. It's an easy way to save and not miss the mone
79,"Been using it for a while. It's nice seeing results, I'm not rich 🤑 by any means but this is another way to prepare for the future. Added this portion after a much longer period of use, I'd still recommend this as an additional way to put money away for the future, I have several savings accounts and enjoy seeing results."
80,Great functionality and a perfect way to save money.
81,"I'm happy with it. Can't say a bad thing about it. For what it is, it's done it's job flawlessly. This is not an app for the stockmarket. You cant even pick your own stocks. But for what it is; an app to quickly invest your spare change with minimal involvement, it has been great. The app has minimal options, just select your risk tolerance and let the app invest your change. I'm up 12% in 8 months and have saved almost $1,000. And I love you solid metal debit card, and for only $3 a month."
82,Easy way to save and invest. Just spend as normal and the extra change is invested.
83,I must say I loved this app but just found one for Crypto so I will be closing this app. The one I found works the same as acorns but for Crypto instead of stock.
84,I think this is a phenomenal app. It focuses on short term actions for long term solutions by rounding up change and adding up your investments in order to save for your future and all the goals you have planned. It's well developed. It's organized and the interface is really easy to navigate. Thank you.
85,"Great app, easy to use. Great way to save and invest."
86,"Started this as a ""Christmas fund"" a couple of years ago and never stopped it. I opted to not take a debit card and forgot aboht the savings. Each time I checked my account, I was blown away by how much I was saving on autopilot! Great app. 👍"
87,Best way to start saving!!! Use it as a vacation fund or set up an Ira and save for retirement. The metal card is a nice touch when you upgrade and using the acorns spend instead of a checking account helps me to just put a certain ammount of money in the spend account. A easy neat way to budget and save.
88,They could be a little faster with ACH transfers but other than that great
89,"Never an issue.. makes looking at retirement a pleasure. And the Acorns debit card is wonderful.... INSTANTANEOUS alerts in usage, is physically the most unique card in the wallet (pretty sure it doubles as a kevlar vest) and is always complimented on. Great experience!!"
90,"An awesome way for hands off investing. Just put a little money in each month and they do the rest. It's a great ""savings account"" that slowly grows without me having to constantly check it."
91,Had an issue where my I couldn't pass the 2 factor authentication after changing my phone number. I emailed them and had the whole thing resolved in less than 30 minutes! Super reliable and customer oriented bank. 10/10
92,Pretty useful. Easy to have running and forget about.
93,I had a question about the app it took a day and they were on point . I am new to saving for my future but with Acorn it's so easy they give you options. You can save as much or as little as you want!! I really like that.. I plan on being with Acorn for the long haul ...
94,"This is a great way of saving and investing. You don't have to be knowledgeable about the market to use this app. You can be as aggressive or conservative as you want. This app embodies the saying ""over time, little becomes much""."
95,"Sustainable portfolio!!! I've been using Acorns for years and have been reasonably happy with the service. Now, I'm EXTREMELY happy! I dropped my phone out of excitement when I found out I could switch from a normal investment portfolio to a sustainable portfolio! I am so happy you chose to roll this out!!!! 💚💚♻️♻️"
96,It has been an easy way to save and invest without the worry.
97,"As someone who doesn't know to much about investing, it has been an amazing experience to see my stocks grow over time through round ups and reoccurring investments. I love the new feature to select substainable investments to invest in. Environmental issues are an area I'm trying to be more aware of. This option allows me to align my investments closer with my views."
98,Easy to use and understand. A great way to save and invest painlessly. Great features. Love the Tungsten metal Visa debit card too. Very classy in color and design.
99,"So far, this has been a great way to set aside money. This isn't my only form of savings, but I believe in multiple options. I really like the roll overs from my credit card. A few bucks a month add up, and I enjoy seeing how it grows the account while I'm not thinking about it."
100,Very easy to use. Great to keep a rainy day fund or to save for a big purchase. Only down fall is transaction times but thats out of there control and i do not fault them for that.
101,Perfect app for passive savings
102,"Not for me. This app did what it promised but there are better options. They have fixed stocks, therefore, you cannot choose which partial stocks you would like to invest in. The retirement feature they have is Acorns Later and it limits your ability to change stocks even further. They do all of the work, which maybe good for some, but not for me. Also, they don't work with many of the smaller union banks. I loss money all around plain and it's a hassle to take withdraw."
103,Great way to invest your spare change
104,Great and easy to navigate!
105,Lovely interface easy to navigate and lots of tutorials.
106,Nice
107,Acorns has been a great way to save and build investment on the side..... Love it!
108,I have No idea what I'm doing. So I hope this is right thing to do.
109,Love the app
110,A very informative investment business it's a very good and easy way to make money with people you can trust
111,Easy to use and saves money
112,Awsome
113,Started Acorns because I didn't know how to save or budget. Saved alot more than I figured I would with auto withdrawal. Downside it does take a few days for deposits to be put in and taken out so theirs the risk. This is for the beginner investors who know nothing about the market. Wish the fees for membership would go down also. Maybe make a minimum of what can be held in the account for a discount. Time=Money. DIVIDENDS Love them. Wonder if they still plant trees for every 1$ we put in.
114,I really do like this app so I'll give it all five stars
115,Love it
116,An excellent way to invest for the future. Start your children on this.
117,"I like the why it works by investing slowly over time. I don't have to really think about it. A portfolio is prepared for me. I would recommend this app everyone, because your small change becomes your investment for your future."
118,I love acorns. Referral program is awesome
119,Good app
120,Easy to save and invest for you future.
121,I have saved money that I ordinarily would not have saved with Acorns.
122,good
123,Pretty easy way to build towards retirement.
124,"So far things are fine I have always wanted to be able to benefit from stocks, this gives me the opportunity to do so."
125,Excellant
126,I use it though NetSpend.
127,Easy
128,Update: They fail at making it easy for you to close your account. Error message every hour of everyday. Signed my check overbto them and they refused to deposit into my account the same checks from social securityvthatvI WAS going yo have Direct Deposited. FORGET IT. Now im playing hell getting the little back I began depositing. ACORNS CANT BE TRUSTED. Can you say BBB Review?...Gonna paint a picture!
129,Beautiful surprises. I leave it alone and it earns money. Couldn't ask for better.
130,Excellent.....
131,Great way to save!
132,Great
133,Easy to use app while investing.
134,This is the best application I've ever had take care of my pocket change and invested wisely with help thank you very much for making such a wonderful application.
135,Superbly wonderful 👏 ❤ 7-Eleven and a good!
136,So simple!
137,Great set up
138,So far so good 👍
139,Like it
140,So far so good. It's only been a week. So I guess we'll see what happens. I've been looking to invest in something for awhile now. And I think I've found. I'm keeping my fingers crossed. 🤑
141,Good app👌
142,"Great if your young, especially. Saving money or just budgeting with a spend account, it is the easiest way to be financially smart without even thinking about it."
143,"Love the freedom to invest and save, all with the same product. Set it to auto deposit and all I have to do is check my balances."
144,I haven't lost any money yet. I'm up 21% since I started. It's so easy. Just uses my spare change.
145,"Very clean and easy to use; nothing you don't need and everything you do. I really like Acorns. Great app to save short, medium, and long term."
146,Turned out to be better than I thought!!
147,They are the best
148,Really helps save money and you dont notice its gone.
149,Have been using for over a year. Great app and way to save my spare change. I dont even miss it! Thanks Acorns for helping me grow my tree.
150,Love that my change is being rounded up and I'm unknowingly saving money into an account and investing without it hurting my wallet
151,Great app!!
152,One of my faves
153,User friendly App
154,Investing for myfamily future at my finger tips.
155,Great investment
156,Easy to get started
157,Easy to use
158,I'm enjoying it but I like to pick my own stocks like the public
159,Bro this a good way to start investing if your a beginner
160,I'm pleasantly surprised every time I check my account. Eventually my dividends will pay for the monthly fees.
161,Good app what more can I say about it
162,Easy as can be
163,Awesome
164,👍
165,Good so far
166,Hj
167,Thank you VERY MUCH FOR YOUR HELP.
168,"I love that there is an easy, effortless way to invest for people who just don't want to bother with the headache of investing but still wants to prepare for their future!"
169,Best way to save and invest. Great app to have
170,Great way to save extra money!
171,"Acorn app is easy to use it has a few choices for round ups 1×,3×,10× or you could put in a set amount.I use 3× round up ."
172,Good idea
173,Great
174,This app is great for those who want to invest and save money and then forget about as it grows.
175,Got that 1G for just inviting 4 friends. Thank you Acorns!!!!!!
176,"Acorns is a terrific onramp to the world of investing. I use the Moderately Aggressive setting and have been extremely satisfied with the results. Years later, I still have my original Acorns account. I call it my ""Change Bucket"" and it continues to serve me well. Easily worth the price of admission."
177,This app its easy to use and I like 👍
178,"So far really easy and very informative. I really like the idea of rounding up, as I just throw the change I get from spending cash in a jar at home that doesn't invest it. It just sits there in case of emergency. Thanks for being innovative Acorn Devs"
179,I looked at your app before at the time I didn't have any money in it I didn't think
180,I like it
181,love this app love to watch my money grow and its good way to be smart with your money if its burning a hole in your pocket ! simple to use just click invest and watch it grow!
182,Awesome!
183,So far so good.
184,Terrific
185,Good so far. I am a new investor.
186,"Not bad, real simple wish I had more control over where the investments went but its a solid platform."
187,"My debit card was hacked twice in 1 year, closing my account and going to a competitor of the business model. Was promised a replacement card a month ago, still haven't received it. I'm done."
188,Easy to use savings increase without issues.
189,Easy and a good way to start saving for the future.
190,Good investment
191,Not enough rewards. I put a lot of money and work in. Have nothing to show for my time away from family 👪
192,Great.... Should have started this years ago!
193,Painless way to increase for my future
194,Its my first time investing ever. Its been an easy site use and I feel safe with my money being invested.
195,🤘
196,"All I can say, if you want great investments, Acorns is the real deal!! Love this app, makes life so simple!! 5 star app!!"
197,Never once had a issue with this app great way to start your 401k
198,Good
199,"So convenient, and earned more than any savings account"
200,"I've been using Mint since 2010. Over the years it has consistently improved everything. Now, it's hard to imagine the mobile version being any better, but I'm sure mint will improve upon it even more. I have tried other budgeting apps but nothing comes close to Mint. Sometimes one of your financial accounts may change something on their website and you'll have trouble connecting it to Mint but that is just a fact of life. Mint has always worked tirelessly to solve and correct such issues."
201,I used this as my first budgeting app and it is amazing! I've tracked my college expense s on it and it's made my life so much easier. The design of the app is simple and easy to navigate. I do wish there were less advertisements for credit cards but other than that the app is great!
202,"Add subscription as a budget category.. People usually have several. Make the app recognize repeat expenses so we don't have to recategorize each month. Also, when looking at spending for the month, how about grouping expenses like ""fast food"" ""store"" ""restaurant"" ""unknown"" I have several taco bell and Costco trips, if they were grouped it would give me a better at a glance feel of my spending."
203,Really clean interface and shows a great break down of where all of your money is. I would highly recommend. I don't use this as a banking app or investment app but it connects everything and shows me where my money is or went so I go here first to look at things.
204,Great app for keeping track of all your accounts and spending in one easy place. Makes personal accounting so easy and trackable. Makes it easier to save money and cut out or flag unnecessary expenses or mistakes in your accounts.
205,I love this App! Most of my accounts synced really easy and the few debts I couldn't sync I just added as properties and updated manually. view the trends for Net income and net worth are great motivators to eliminating debt. Budget tracking is 4/5 stars. Highly recommend for anyone!
206,I was just thinking today how having used Mint over a decade or more has helped me save a tremendous amount by allowing me to track easily a multitude of credit cards and bank accounts I keep openimg in a pursuit of best rates and rewards. And I rarely if ever have technical trouble with the app. So thank you Mint!
207,"12/2/2019 I love being able to check everything in one glance 👍 7/9/2022 still loving it - especially the widget showing all accounts and balances. Oh, and the net worth. Satisfying to see that number as I make progress in paying off my debts. 😎 And slowly getting back to black 👩🏼‍🎤"
208,I guess you could say I'm a promoter for Mint...well all Intuit apps really. My life has gotten significantly easier when it comes to financing and being responsible. Always has been super easy to use. Great app.
209,Makes it easy to see everything at a glance. Some more options for graphs in the app would be nice but it's very helpful for getting a quick picture of finances.
210,"I have used a few premium budget apps. So far Mint is the best, and I can't believe it is free. Love the quick transactions update from banks. The search and auto categorizing are impressive too."
211,"It's a great way to keep up to date with your credit as well as your spending so you can make adjustments on just about anything, super useful and friendly user interface!"
212,There are more features on the website that can be added to the app but overall great app to track spending and budget appropriately!
213,"A great tool for budgeting and monitoring expenses. It has a few things it can't do via the app, but it seamlessly integrates with the desktop version."
214,"I really like this app. I was hesitant to join because of all the info you input, but my credit score has gone up so much based on their recommendations. I definitely recommend this app to everyone!"
215,"Been using mint for years, recent updates to app a welcome change. Best tool to have the insight you need of your spending and balances to improve or maintain your financial health."
216,Best free app. Works well and helps me to get a full picture of my fiances with no effort on my part. Love it.
217,The new update is really great the UI is also easy and friendly to use. They support a lot of banks and a lot of investment account s including coinbase for Bitcoin.
218,"Very useful, gives me peace of mind seeing my credit score whenever I want and definitely helps keep track of my money and accounts."
219,"Stopped working on Android 12. Come on now. Update: No, did that. All Quicken apps broke on Android 12. Again, fix."
220,"Easy to use app, haven't had any issues so far and in general a great method to keep up with finances!"
221,Very user friendly app. You can see your whole budget at a glace in the monthly tab which is so helpful.
222,"Pretty good app, i like that you can keep track of all your spending and see where your money goes"
223,"I've been using mint for a couple years now, and having a widget on my phone's homescreen has done wonders to stay informed of my finances, and bring it back to a very healthy place. It's become an addiction to check the app daily, but perhaps one of the few to have a positive benefit."
224,AMAZING app with many opportunities for growth and learning more about your own personal finances.
225,"To be honest, I think I would be spending hours trying to understand my finances. Because of Mint, it does most of the work for me and keeps me on track."
226,This give a great view of your money and you can see what you can do with extra or whatever it is great!
227,This app has really been a life safer for me! I check it everyday. I am much more conscious about my spending habits and my credit score.
228,"I started using Mint (through the Website) 15-months ago and really appreciate having it. Mint allows you to keep track of all of your financial accounts, bills, assets and budget in one location. It auto updates daily. Also, it allows you to set and track goals such as paying off credit cards. These are just some of the things in a nutshell Mint offers. I highly recommend using Mint."
229,"Intuitive app that's great for monitoring your financials. You can connect bank accounts, investments, bills, and property. This app is great for tracking net worth, cash flow, and budgets. Close integration with Intuit TurboTax is also a very nice feature."
230,💯% helpful perfect app to help you keep your finances in order and helps you keep track.
231,"Getting this app to connect to my bank accounts was a pain. Edit: They have improved, or become more known if the banks were in the wrong. This app changed my financial habits. Knowing is half the battle, and the graph of my food expenses growing for food I did not remember along with the net income chart caused me to examine my financial habits. They integrate all the information so well, your get a whole picture of where your money, and to an extent your life, is going."
232,"I got this app hoping it would help me understand finances a little bit better. I'm blown away... Not only have they accomplished that, but I am actually interested in learning more! Way to make saving money easy to understand and also interesting!"
233,"Definitely worth the download, especially for those with multiple credit cards you know longer have to login multiple accounts every month to see what is due when. Login once with Mint and easily track your network, monthly subscriptions, debt to income, you can even make a budget and track it. If you use turbo tax you can also track your refund! It's the real deal so ignore low star reviews if there is any. They constantly put out updates as well!"
234,"Great app! I used to have some issues with accounts disconnecting, but that seems to be a problem of the past. Very customizable which I like. It definitely helps when you forget to go over your budget until the end of the month, because everything is recorded and organized for you. This app does a really good job of what many other services are charging for."
235,Very easy to use and a great way to track all my spending and bills!
236,"It's really easy to use and it is teaching me with actions to maintain a healthy credit. I heard from this app in The Financial Diet (youtube) a couple of years ago, only now I started to actively use it and it's great. I'm 22 but I wish I took this seriously when I started working at 18."
237,"I used to really love this app. But lately, the information it's showing isn't up to date. The last thing it's showing me is from nearly a month ago. I've ensured that my accounts are connected but idk. It just won't update properly. Kinda hard to use when it won't show you this month's information."
238,Mint is exceeding my expectations . Its great to see all my account activities congregated in one place. Makes life so much easier. Accounts have stayed connected to Mint. Info is always correct and in real time. No need to connect to each accounts app except to pay balances. All my checking account activity from all my different banks are in one simple view. Try this out if you want to make your financial life into a wonderment of joy and happiness.
239,Great options for budgeting and keeping track of your credit score. Easy and convenient.
240,Overall this is a solid app. It provides fast and convenient access to all your linked accounts in one place. The online chat is actually quite helpful; I had inadvertently added an account twice. The only thing I miss now is a way to download the numbers to Excel for year-end and tax time analysis.
241,I've been using mint for a long time and it has gotten better with a lot of useful information on my money accounts.
242,Mint is amazing. It helps me keeo on track with my budget and spending automatically. It gives me tips on improving my credit score that work. I've increased my score my over 40 points in 3 months. It's a great app for keeping track of my entire financial life and now I can't live without it.
243,"Feature-rich Mint has made it much easier to keep track of our spending in various categories. Can't believe it's free! Searching all transactions by various keywords is powerful. I ran 4 different businesses last year, and being able to get summarized data for each business made tax time infinitely easier. Other favorite features include seeing our net worth at a glance and viewing a variety of reports to understand trends in our income, expenses, and much more. Very user-friendly!"
244,"Love the App, it's great to monitor your expenses and spending."
245,I'm not really good at adult stuff like saving money or credit scores or remembering to make dinner before 11 pm on a Tuesday. But this app has helped me be better at remembering that credit scores exist and I should care about them. And actually save some of the money I get. Doesn't help remind me about dinner though....
246,Amazing workhorse for a one stop for personal finance management. Seamlessly connects to various accounts.
247,UPDATE: The revisions to the app are nice and make it easier to organize info and give it a nice look. GREAT way to keep track of what I am spending money on - and all in one place. I especially love the ability to easily see how much money I have left to save every month. The amount of functionality for free is incredible.
