,content
13,"I downloaded this app at least a week ago. I set up my account immediately, but it won't let me set up the invest feature. I've tried and tried since I got it, but all it says is to try again in a few minutes. If I can't use the app for the one reason I downloaded it, what is the point of having it? There isn't one"
14,Dont use this app! I have never had so much trouble withdrawing my own money! I have been trying to access and withdraw funds for over a month and everytime they lock my account!
15,Idk. I'm the short term I don't see the growth. It may display I'm up percentage but if I include they monthly subscription I'm at a loss. Idk I'm going to give it a little more time but.... We'll see
16,"I've canceled my subscription 3 times and I'm still being charged monthly. Any profit you might make from this will get sapped away, not worth time and headache"
17,"Haven't been able to set up my investment account for a week since signing up. Says ""We weren't able to contact the server."" Unacceptable."
18,"I have set up my account almost a month ago and still cannot use it due to bugs. My bank accounts that are linked don't show up on the linked accounts page, and despite finishing my profile and completing the paperwork that I had to submit a request to support to figure out, my account start up is still being processed. On the verge if giving up and deleting it for something more user friendly."
19,"Subpar... It was working for all of one day then it stopped working completely Suspended my account despite the fact that I had cash in my bank. Tried to fix it and it told me to reverify my account, it hasn't sent me the confirmation amounts yet and its been days. And now the app literally dosen't work at all, automatically trying to log out but glitching and showing me an error message. Called custom support, and while they were incredibly courteous, they weren't able to actually help at all."
20,"Used to work with my old bank (Simple) but after they jumped ship to BBVA Compass, I jumped to One Finance and Acorns doesn't support One Finance yet."
21,Its super hard to navigate in this app. It let's you do things that are in there favor.like link account and start deposit. But it's hard to find a way to turn off or remove the money you have in there back to your bank. Yes it can be done but it could be easier like other apps have it
22,"I'm trying to cancel my subscription, but my app insists that I can't because I have pending transfers. Invest your money elsewhere."
23,Unable to even get started! Will not let me change forgotten password and does not accept my capital one bank?? I was really looking forward to this app.
24,Not beneficial. My balance has dropped over the last month and I do not know why. I have emailed customer service with no reply regarding the money and also about the Earn Rewards that you're supposed to receive after a purchase through their chrome extension but the money has never been added. Spend another 20 minutes and check out some other online savings account before wasting your time and money with this.
25,"This is a horrible app. As I am writing this I am waiting for rhe customer support to respond to me. Over a month now I have been asking to reset my password so I can get into my account and nothing. I keep waiting for the email in my inbox it never comes.. do not use acorns... if its this had to get a password reset from them , what happens when I want my MONEY!!!!!"
26,"I created an account, had a code sent to my phone, entered the code, and the app froze as soon as it said ""Verifying Code"". I had to force close the app. I did this several times. Uninstalled, redownloaded, reinstalled... All the same results. I had to give up and delete the app altogether. Bummer, because this sounded great if it worked."
27,"They have a cash back program, just like Rakuten and Ibotta. Acorns is different though, IT DOESN'T WORK! I am owed over $200 in cash back. I have screenshots and receipts to prove it. I have contacted customer service NUMEROUS times. Sending screenshots, scans, etc. and after all the back and forth they put me through, I get a message saying they got everything and are sending my case to a manager. THEN...nothing...ghosted. every. time. I don't know why I keep using them. To invest ok, kinda."
28,"Address verification is hell. This process is a nightmare!! It's all automation by A.I. and can't differentiate my address vs the Xfinity bill's address. Then I submitted multiple bills in pdf format and was denied stating it was blurred.. 5 freaken attempts in different ways and they can't get it together. IMPOSSIBLE to talk to anyone, or chat with anyone even though there is a chat button once you select the topic it disappears. Even after I submitted my inquiry I received an automated email.."
29,"At this moment I don't have an experience review. However, from reading the reviews, the issues that are brought up are serious issues. These are extremely recent complaints, and the responses from the Acorn site doesn't give an update to the reviewer publicly about if the issue has been solved or how it been solved or what the issue was. Communication and prompt response to issues are way more vital than the benefits that the site promulgate."
30,"I finally decided to try this app again, after the last issue I had a while ago. Now im having another problem. I was able to create my account this time, but now I try to log in and it says incorrect password. I tried changing it but it keeps saying (change password token invalid). I cant seem to catch a break with this app. 😞"
31,"Terrible experience..and have only had it for 4 or 5 days..when I try to link my card, it always says can not connect to our server st this time...everytime..then I do link my card and they send the verifying amount to the wrong account...then when you email them, they don't get back to you...for an app that handles people's money, not very professional"
32,The customer service is awful! I sat in chat for 2 hours and it kept timing me out. Then recycled me back into the que. No option to cancel a transfer even though it says it can be done within 24 hours.
33,Hope and pray you don't have a dispute with a merchant with your cash card. I did and a week later it remains unanswered by Acorn. Your security seems unimportant to them. I would definitely recommend NOT using any cards from them! Thus I gave them one star. . I am hoping they are more responsive getting my money back to me when I close this thing out.
34,"Can't reset password, support is worthless. Looking to use Acorns again, created an account some years ago and haven't used it. Reset password option is broken and have tried numerous times from phone and laptop. You're supposed to receive an email with a link to reset but nothing is sent. Other people have had this issue. Emailing ""support"" is a waste of time, three different agents have emailed to ask me the same questions and have no idea what they're doing"
35,Doesn't explain what's going on with your money and what's being invested to what. If I could get my money back and leave acorn forever that would be great. But of course it's a long process to leave.
36,App was good but now I can't link debit card for round ups. Sucks to be charged for incomplete service.
37,I canceled my account a while ago and money is still being withdrawn. I can't contact anyone to fix this. I saw the withdrawl on my bank statement. I had to reactivate my account to get back in to try and take my card off and have to wait 48 hours. Why is money still coming out I dont even have the Acorns Ap on my phone anymore.
38,"Worked great until my account was mysteriously locked. Tried to reset my password, but never received a reset email. Nothing in my junk mail folder. Also tried the customer service contact form...but nothing. Update: Acorns support worked with me to unlock my account. But it was locked again a few weeks later...."
39,"#1, my bank account keeps coming unlinked and as a result, next to nothing is being invested. #2, not the app, but Acorns in general, I clicked the download link from the email regarding my 1099 and I ended up on the main page in the app. I poked around and couldn't find where to download it. After going to the website (no luck there) and back to the email, the link magically worked! Ya'll need to fix the bank unlinking problem because I googled it and it's been going on for a long time."
40,"App is unusable on Galaxy A71 5g. I enter the phone verification phone and I get a screen that says ""verifying"" and it never goes away and moves to the next screen. I have tried reinstalling, rebooting, and still nothing. Horrible especially after I gave them my personal banking information."
41,This apps entire functionality hinges on compatibility with your bank. A poor compatibility ensures you're ONLY able to pay fees. Don't waste your time regardless of how novel the only feature that drew you to this app sounds. Chances are high you'll never be able to use it.
42,"Acorns has generally been amazing. However, if you use their Spend services be in for a shock. They are at the whim of the bank they have partnered with. If you use Acorns to Deposit a check, be aware - If you happen to change your Primary account that Acorns is linked to, you have to wait 15 days (again) to be able to make a mobile deposit. Customer Service cannot help you and have refused to help."
43,The monthly cost is very high - you'd need to invest so much to offset %. Long term?! So much wasted $!! New investors better off learning to manually invest with companies without Acorns' fee structure. Spare change simply pays fees - just realistically automate amounts to savings and investing and keep your $. Low APY checking account not worth a monthly cost. Such slow balance updates bad for money management or those using this app sparingly. Customer service is either rude or unresponsive.
44,"I liked the idea but I hate that it suddenly made me pay for a subscription that I didn't want and I can't even cancel it because it keeps making transactions of 3 dollars from my bank, I can't even remove my bank either. I emailed the company twice and yet still no reply."
45,"They try to hide the fact that they charge $1 - $5 per month. It's not a ton, but trying to hide that from the consumer makes me not trust this as much. Plus, many other reviews have said the same thing. I'd rather have some features restricted and one-time buy a premium version or something, for like $3 or $5."
46,"Started investing again with Acorn and also opened up a Later account, only problem I have is that I have deposited 2 times already and still waiting for the deposit to show up! The money been taken out of my account and still waiting for it to show up to start investing. That's not cool might close the later account keep you updated."
47,"The Plaid verification service is the worst software possible. Makes verifying linking account extremely annoying and difficult! It'll straight up tell you your information is incorrect when it isn't. Even reseting info using Plaid supplied links, it'll still say incorrect! This is making me want to use a different service."
48,"I have had acorns for a couple years now and I have had numerous problems. I have disputed transactions multiple times and I never recieve any help or resolution, they make it so difficult to dispute a transaction its almost impossible. Also my card broke and acorns wouldn't replace it for months after multiple emails. I like the round up features but everything else sucks. Also deposits don't post during the weekend so don't expect any money quickly with them."
49,"Funding it is a pain if you don't use a major bank like Chase or Wells Fargo. I had Capital One linked & tried to switch to my credit union, which turns out it can't link with, & now Acorns won't let me go back to Capital One either. I've been wanting to consolidate my investments in Robinhood, TD Ameritrade, and Acorns. I was going to consolidate to Acorns but Robinhood is MUCH easier to use and they don't charge a fee. I've had Acorns since 2014, but it looks like I'll be closing out."
50,"Really bad experience, I have been with acorn for more than a year, and they advertised $600.00 for 3 referrals, I gave them the 3 referrals, they all qualified and deposited the money as advertised, but acorn never pay me the $600.00 I tried to email them several times, because that's the only way you can communicate with them, they told me a supervisor will call me back, but it has been weeks and nobody has contact me, I'll be moving my investment soon, don't trust acorn."
51,"Update 5/2021: Have been locked out of my account for a couple weeks now. Contacted their Support, and they asked me to verify some info, which I did. So a few days go by, and they email again stating they can't verify me!? They then wanted me to email them all my personal information. They have no # listed to call. Decent app, I enjoy the automatic transfers. Makes saving easy. I don't like how it regularly loses the link with my bank account, then have to keep re-linking it. It's a hassle."
52,"So first off this is a total sham, they charge you 3 dollars a week to literally help you save money, which is okay I guess, but if you need to take your money out you'll be waiting at least a week for it to hit into your accounts, no matter what. I tried to withdraw the money thinking okay it'll hit the account in three days( was super low on money in this account) long story short account went negative, nd because it bounced I got charged a 40 dollar fee from my bank, thank acorns"
53,"There is a bug in the app, when I tried to setup my account it fails to reconnect me after Linkining the bank and ask me again to reenter the whole information. Also I tried to skip the bank linking activity but it repeat the whole process again...plz fix asap. I'm using OnePlus Nord10, android 10."
54,I would rate this app as zero stars. Zero customer support. I can even set up an account as it says my ssn is invalid. Contacted customer support and only received an automated response. Zero trust in this app!
55,"The app is not working, I have made transactions but it has not transferred anything over. Also, I put my info in and it tells me, oops something went wrong! And support won't answer! Shm!!"
56,You need to fix the Bug problem!! it's been a month and still can't open the app!! There has been updates but that doesn't fix the problem!! I can only see my account on a desktop computer!!
57,"I can't add to the ""spend smarter"" section, a server error message comes up. It doesn't seem to be rounding properly. UPDATE: So apparently I accidentally canceled the card that says is enabled but now I can never be sent another one. Wow...."
58,"They make it very easy to sign up for services you might not want to be paying for at all. FYI im not referring to stocks or other items as the reply suggests, but acorns subscription services of varying levels across multiple areas of the app. I closed my account fully."
59,If this app at all worked like it's proposed method. It would be fantastic. It constantly unlinks my bank account. Won't stay linked for more than 24hrs. Like I said ideally this app makes fantastic sense. But does not preform how advertised.
60,"Constantly have to reset my password, everything I login the app thinks my password is wrong, which I know it isn't. Then I request a reset email and it never shows up...then I have to contact support and wait 3 days to get my problem resolved."
61,"Stay away! I closed my account and got a verification email stating that, days later Acorns withdraws money from my bank account (giving Acorns access to your bank account is a requirement of the app) , and I have yet to receive the money that was in my account when it closed. Acorn appears to be one of those apps where your money goes in but doesn't come out. BEWARE!"
62,Super high fees. Had it tied to my Google survey account and invested around twenty dollars. Lost my account for around a year. I logged back in close to a year later and fees had ate up almost all my money. They make the Robinhood app look user friendly. -2 of 5 stars.
63,1. Terrible customer service. 2. No place to make deposits except through the strict and lengthy processes. 3. Website and app that is hard to travers. Wish I could rate this zero zero zero.
64,I really want to give it five stars but not having their debit card that I signed up for and provided no solutions to amend it got me irritated. I'll still use the app and will change the rating if the situation improves.
65,I've put $70 on this almost a year ago maybe a little more. It's now currently sitting that $39. It also won't let me remove the money from the account so I can close it. I do not recommend this app at all or acorns for investing.
66,"Only had the app a week and it will not let me log in anymore. I'm sent the verification code through text, enter it, but it never verifys the code and stays stuck on the verifying code screen."
67,"My Acorns account was reopened weeks ago but the app apparently doesn't know that. It keeps asking me to go through the reopening process, a process that no one at Acorns seems to be notified about even though I've done it about a dozen times now. So the app is currently useless."
68,I cannot actually get into this app because after I log in and go to verify with my phone number the whole app freezes. I would really love to be able to use this app but it won't let me!!!!
69,"If your having difficulty closing your account make sure you do not select ""moving to another service"". Else it will 'Fail' to close your account."
70,Worst app ever.try and try to use the app every time I try to log into my account it tells me wrong password or email.i know what I put in and I save or write down my stuff.dont install I would have given no Stars but I have no choice.
71,Terrible app they just take your money better off just using your bank account atlest they don't take money without your permission. I've tried to cancel subscription three times now if they charge me again I'm going to flip.
72,"The round-up feature has been broken for 12 days. In those 12 days I've had to re-link my card 6 times! Even so, the round-ups remain broken. I'm not the only customer dealing with this so what are you guys doing to fix it??"
73,"Requires an update every time you want to use it, eventhnough change log is nebulous ""easier to use"" every time."
74,"If i could I'd give -5 stars, i had no problems but when i opened a new account and paused my investments which also acorns should know when my account is low on money but yet the app still took out money and overdraft my account"
75,"Just looking at the reviews tells me this is a terrible app was going to install but customers saying they auto pull out money, no investor info, no changing of goals looks like a terrible app maybe I'll look back into It in a year."
76,"Jesus christ. Stop making me log in with my email and password. Just use the biometrics, you retards. My phone autofills everything anyway, I just have to go through the extra, unnecessary, step of hitting the login button. Same for the stupid and pointless six digit code you send to verify it's me. My phone automatically copies the number and fills it in, and all I have to do is the extra, unnecessary, step of hitting login again. You are powerful stupid. Don't reproduce."
77,I heard acorns had a great amount to offer but literally for the past 14 hours I've tried getting past the verification code. I've tried sending the code through phone and email but neither work. it just says verifying code and then never does anything and I'm puttingthe code right like I'm doing what I'm supposed to. Its not a great first impression.
78,"What they don't tell you is you are actually loosing money unless you have a certain high amount invested. It costs 3$ a month, and in order to actually make 3$ a month from the app, you would need around $1000 to break even month to month. So for everyone who has less than that invested, they are stealing for ""acorns"" for all the hundreds of thousands of people who fit into that category, making them tons of money. Also the referral process for rewards is a scam, I'm still waiting on the money."
79,"Every time I stop automatic investments, Acorn decides to restart it when they get ready, now that's ridiculous."
80,The app has an astoundingly counterintuitive interface. Don't expect to find any relevent information on here without googling where to find it first.
81,"GREAT IDEA POOR EXECUTION No sense posting here. The same issue echoed by the masses over years. The same responses, unconvincing platitudes and apologies. Where are the fixes? Where are the improvements? THE REPETITIVE RESPONSES WITHOUT ANY TANGABLE CHANGES THE FALSE PLATITUDES FOR REPEATED FLAWS AND FAILURES THAT COST US THE INVESTORS. YOUVE ALWAYS GOTTEN YOUR MONEY AND WEVE GOTTEN ALOT OF APOLOGIES. LOOK AT YOUR REVIEWS APOLOGIES W/O CHANGE. IM SORRY FOR NOT CATCHING ON TO THIS SOONER."
82,Suspicious company. I was told to sign in again so I tried. It said my password was wrong which it wasn't. It said create a new password so I tried. It said my security question is wrong and it's not. Now I can't access my money and it's still withdrawing from my bank account. I'm calling the bank to have them block acorns. I get a bot response on here saying blah blah blah but haven't had a single response to an email I've sent them. Pretend elsewhere... I'll manually invest from now on.
83,I keep having too much of a hard time in the process of verification with acorns and reaching out to customer service doesn't seem to do much either
84,Easy to put money in but when you want to transfer they won't let you! Custer service just repeats an email of how to withdraw fund. Yeah I know how. You block it from going through!
85,"Literally everything I tried to do resulted in an error, making the app completely unusable. Couldn't be a customer even if I tried 🥲"
86,"This guy's are thieves, they can easily deduct money from your account but you cannot withdraw, on several occasions they said wait for account verification, like a they sent 2 deposits, it's been a month, on both occasions, i can't see any form of deposit from them, and definitely your account can't be verified, your money stocked with them, worst app, very stupid and a scamm., So so bad for common transactions."
87,I discontinued my use and took my information off of here yet for the last 6 months they been taking money from my account. Basically they have been stealing money from my bank account without my permission. From my experience i wouldn't sign up nor give out your personal and or bank account information becauseI cant not even get my money back. Cannot get anyone from there to respond to anything and still haven't stopped taking out money from my account which I closed at the first of the year.
88,"This app has been impossible to use. Haven't been able to do anything because the app is still "" varifying account"" for 2 months now. 2 months of roumd ups and weekly investments sitting there, wasted."
89,I did a withdrawal and the money was sent to the wrong account. Not happy with them at all!!!!!!
90,Subscription page will not load to allow to unsubscribe. Edit: Still zero assistance. Automated email responses.
91,"The Acorn investing app is not very user friendly, I would it invested but found it constricted and decided to remove my initial amount of money, including my daughter's early investing plan."
92,It hasn't been rounding up for over a month now. Can't give it a good rating when the app doesn't do what it should.
93,"This is a scam, as soon as my money was sent, I can't get into the site. Now the say they sent an email how to fix. Never got the email."
94,There is literally no customer support and when I do file it online ticket nobody gets back to you. I'm canceling my acorns account
95,At first was great but I canceled my reacting transaction and it keeps taking money out of my account
96,Maybe it's just not for me. Couldn't login even though I entered everything right. 🗑
97,"""Verifying code"" freezes the entire app every single time. Can't look at my accounts"
98,"I tried to verify my account by typing in the ""minimal deposit "" but it was never put in, so I can't withdraw,"
99,This app will not let me link my bank account or debit card for the Roundup. The link my bank account number to take a dollar out every month but couldn't link it with my debit card to do the roundups period seems like a scam to me
100,Horrible
101,"I am pretty sure they botted reveiws, so let me put a dent on it. You can check out all the other 1 star reveiws as they seem pretty legit."
102,Tried logging into one of my accounts and I can't log into it. I tapped Forgot Password and password didn't change. Unbelievable. Do not install.
103,MIT m
104,THE WORST APP EVER!!!!!!!
105,"DO NOT ATTEMPT A MOBILE CHECK DEPOSIT WITH THIS APP. THEY WILL LOCK YOUR ACCOUNT, IGNORE YOUR SUPPORT TICKETS AND KEEP YOUR MONEY!!!!!!!!!!!!! $100 GONE that I needed to pay bills. All of the money in my retirement account. GONE. I'm talking to an attorney now, thank you!"
106,I downloaded acorm it wasted all my money I want my card to be unlink to the app .I can't even get in .
107,"Referral system is trash, i should be able to join and link the person that referred me instead of only using the specific link. Eat my poo poo developers"
108,"Deceptive marketing campaign which presents a realistic looking ad stating my ""invest account is worth $xxxx.xx"" within an ad on my phone. It's clearly meant to look like a notification. The fact that this company thinks this is an ok practice has completely steered me away from this app. Absolutely not. Not even once. Edit: Cute cut and paste response by your marketing team. Funny thing is, I completely forget about this POS app until the same thing happened 1 year later."
109,"The plaid program they use has my wrong phone number for my bank, even though my contact info on my bank is updated. Can't even use the app."
110,I've put $70 on this almost a year ago maybe a little more. It's now currently sitting that $39. It also won't let me remove the money from the account so I can close it. I do not recommend this app at all or acorns for investing.
111,"After 2 weeks they couldn't get my account going. I have other investment accounts, so I canceled."
112,"They've earned me about $10 over the past year. Doesn't matter how much I put in, it always gets lost the next day. It feels like such a waste of time and money."
113,They went connect to my bank for months again. They won't email me back after six attempts to transfer my retirement to here
114,"I'm trying to cancel my subscription, but my app insists that I can't because I have pending transfers. Invest your money elsewhere."
115,I want to withdrawal and you're app is making it intentionally difficult.
116,"Terrible customer service. Having the same issue with no resolution for over 1 year. Multiple calls, dozens of emails and nothing."
117,Doesn't explain what's going on with your money and what's being invested to what. If I could get my money back and leave acorn forever that would be great. But of course it's a long process to leave.
118,There is a typo in my name and the app does not allow me to fix it
119,Dont use this app! I have never had so much trouble withdrawing my own money! I have been trying to access and withdraw funds for over a month and everytime they lock my account!
120,as Z
121,This app is trash dont put any money into all it is honestly is a bunch of lazy thieves to lazy to get their own money
122,"Terrible customer service ... use ""terms and conditions"" as answers but cannot specify what they are!"
123,",, ■ Zz"
124,Unbelievable. I attempted at least 10 times to start a account and it kept- email not correct so I rechecked my phone and yep it was. so I went through all this nonsense about confirmation numbers. It Finally worked. Then it said my password was not correct. I went through everything and tried over and over. I Uninstalled..Then I tried it out again and couldn't even change it to a new password. This is too much hassle for me. I will just look for a different application that wants me.
125,Is not good investing
126,"Do not use this. I've had an account for maybe 5 years. I am low income student and had to switch to not depositing money. So far, it says my net gain is 200. Then I realized they somehow switched to charging me 2 dollars a month, and I don't even have acorns later set up. I go to switch to the lite plan (which is $1/mo) and the page freezes at the end every time, so I can't tell if the request is even submitted. On top of that, I'm not sure what they take when you close the account..."
127,Garbage
128,"Well unfortunately this issue has happened more than one time acorns failed to cash my check, I work paycheck to paycheck I need every last dollar to pay my rent, they make you write on the back or ""acorns Mobile deposit only"" and then you sit and wait two to three days for them to send an email saying we hit a snag cash in your check and no information thus far, now that made my check unusable and I had to wait to have another check reissued... No longer trusting acorns with my money!"
129,You just lost a loyal customer!! I try logging into my account and it says it's locked and needs further verification. No one can tell me why my account is locked.. I've sent countless verification forms via email and now they want to 3 way my bank in which I have to give personal info over the phone with them listening in!!?!?!?! Screw that! Put the money bank into the account in which it came from and close me out!! I'm done and beyond pissed!!!!!!
130,"Your customer service rep told me there was an upgrade & that was the reason why I've been experiencing issues with the app. Not to mention several ppl not just myself can't get accurate answers from customer service team nor can we get in touch with a supervisor. I've been a member for years, I've recommended others, the lack of service & ease to use this app is frankly unacceptable. U R about to lose a customer who believed in this company & if U R planning to go public U need to improve"
131,"Used to work with my old bank (Simple) but after they jumped ship to BBVA Compass, I jumped to One Finance and Acorns doesn't support One Finance yet."
132,"Had a terrible experience with their fraud department team. Horrible. Beyond that, the process from transferring money from your bank to it reflecting in your invest account is wayy too long. 6 days? Also, I can't for the life of me understand why there isn't a feature to transfer money from your Spend account to your Invest account? As much as I like the clean UI, and simplicity of the app [in regards to navigation], too many little things makes this a horrible experience."
133,",Just of for the together too t"
134,"Very shady customer service. I've talked to numerous people from customer service, all of them telling me different things, and none solving my issue or giving me an answer. The people i referred went through the same issue with customer service and had to talk to several people. Growing increasingly frustrated not only for not getting help, but for being told everything was good then being told something different after the 7/3 promo ended."
135,App was good but now I can't link debit card for round ups. Sucks to be charged for incomplete service.
136,"No Customer Support If U Got locked Out Good Luck With Your Money. The money grows like a snail 🐌 I only gain a pocket change one day you gain next day you lose. I'm not sure if Acorns have medical marijuana, CBD beverage, CBD Oils, and bitcoin like Moomoo & Webull app stocks on their list📃. If is available I don't see, what's the hold-backs? Acorns should be the head of game if it wants to be at the top.This what happen to taxi🚖 industry they Don't upgrade their system uber come & kill it."
137,Nc apps
138,Downloaded this app about a week ago and still won't verify?
139,"App is complete trash. Kept telling me my password was wrong even though I made a new google account and password. Then proceeds to tell me it can't take my social security after trying to long in for idk how long. Then sends me to customer support, for absolutly no help."
140,Having difficulties with linking to bank I have been trying for 2 flipping years now I just want to pull out!!
141,App sucks and won't give me my money or verify my account???? Stupid AF have some pride and be better Acorn
142,Hay que pagar una cuota mensual de la cual no tenia idea. Ahora tengo problema tratando de cerrar una de las cuentas.
143,No starts if I could Took money from me and now won't respond. Not to mention I didn't complete my account or give it a day to start taking for investing Costumer support absolutely sucks. Will take your money. I usually don't leave bad reviews but this is beyond ridiculous. Taking money I don't even have yet without permission. Bulls***. QUIT TAKING MY MONEY. F***
144,Not giving an unknown app my full ss#
145,"It's an interesting idea but their support is terrible, special offers are denied even if you do everything right on your end, and the UI can be very frustrating to navigate."
146,Rsww3.ses÷sessssssss2gs
147,useless.
148,Huge disappointment.
149,I have been trying to get the app to verify my bank account so I can start the round up but it always says there is something wrong with the server or when I proceed to verify it says it deposited some small amounts to my account but nothing is there. I uninstalled and installed again and nothing helped. I was really excited about getting this app to start investing but I'm just dissapointed now.
150,Misleading
151,Canceled service with them twice they continue to charge my card for services cannot get them out of my bank account
152,Can't create a new account and won't let me get into old account. Absolutely no help.
153,You never know where ur momey goes
154,Horrible you cannot re a ch a real person. I want to leave.this company.Now I have to get my bank to stop money from going to this company if they do indeed exist Cannot inform them that my email address has changed
155,"They don't seem to really build your portfolio. Not s fan, rather do Robinhood so I can choose my own path."
156,Why am I still being charged
157,I would be very cautious.
158,This app will not let me link my bank account or debit card for the Roundup. The link my bank account number to take a dollar out every month but couldn't link it with my debit card to do the roundups period seems like a scam to me
159,Sucks
160,They never told me they charge$5 monthly
161,"Terrible customer service, and God forbid you get there spend account card from them prepare to wait for a month or more . The other issue is if you lose your card and you have to get a replacement expect to wait another 2 months to receive a new one. Do not get Acorn save yourself the headache ."
162,👎 useless never use it you waist your money particularly it has monthly fee. Don't use it.
163,"What they don't tell you is you are actually loosing money unless you have a certain high amount invested. It costs 3$ a month, and in order to actually make 3$ a month from the app, you would need around $1000 to break even month to month. So for everyone who has less than that invested, they are stealing for ""acorns"" for all the hundreds of thousands of people who fit into that category, making them tons of money. Also the referral process for rewards is a scam, I'm still waiting on the money."
164,Terrible
165,"I've canceled my subscription 3 times and I'm still being charged monthly. Any profit you might make from this will get sapped away, not worth time and headache"
166,Hard to switch accounts. Make it too difficult
167,Do not download go invest in Amc an Gme to the moon
168,Horrible I accidentally put $50 into my auto invest instead of 5 and as soon as I caught it I tried to fix it ...they said to fix it but it's been over a week and a half and still nothing's done so I'm just taking all my money out and closing the account should I just fix the acorns!!!!😯😡😡😡😡
169,"Haven't been able to set up my investment account for a week since signing up. Says ""We weren't able to contact the server."" Unacceptable."
170,This app stole $5 from me even though I removed my banking info and even though I signed up for the $1 a month plan. Do not use this app they will scam and steal your money
171,B mändernö.Nääö
172,"WARNING!!!WARNING!!!WARNING!!!WARNING!!!!! DO NOT USE THIS APP!!! OMG, where do I begin? First off this app comes off extremely well and a great opportunity on paper, that is until you start putting money into it. They do crazy stuff with your money, like they'll just take money out of your account and not even leave a transaction record of it!! The DF's also suspended my ability to invest, due to ""low funds"", after I switched to an account that had 30 times MORE money than the prior working acc"
173,. M m . N m m ..? MSM lm mlm.. ni km. Mkm . Mmm...k. mlm Mmu... Mbv m. . . . L M9 .... .
174,Idk. I'm the short term I don't see the growth. It may display I'm up percentage but if I include they monthly subscription I'm at a loss. Idk I'm going to give it a little more time but.... We'll see
175,Cant even install the app
176,They're taking my money without my consent. I ask to be cancel they said they would but didn't steady taking my money. I asked the add my change to my account not take to invest.
177,Unable to even get started! Will not let me change forgotten password and does not accept my capital one bank?? I was really looking forward to this app.
178,Clunky and confusing.
179,It's trash
180,"Every time I stop automatic investments, Acorn decides to restart it when they get ready, now that's ridiculous."
181,If you are new to investing this is confusing and not much explanation.
182,3 days account still verifying..... Nice 2 days like it says
183,Yea this app sucks customer service sucks
184,Signed up canceled and they still take money out of my account. Wont stop
185,There is literally no customer support and when I do file it online ticket nobody gets back to you. I'm canceling my acorns account
186,Keeps asking for my password instead of fingerprint GETTING VERY BUGGY AND ANNOYING
